Domain Code,Domain,Area Code (FAO),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","108.739474","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","108.982858","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","109.935228","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","111.279127","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","109.120422","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","8","Antigua and Barbuda","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","109.660099","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","356.008875","","Official data","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","365.507329","","Official data","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","379.882978","","Official data","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","391.923739","","Official data","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","394.589304","","Official data","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","398.70072","","Official data","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","403.828009","","Official data","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","417.826132","","Official data","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","430.177782","","Official data","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","450.705535","","Official data","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","462.979939","","Official data","base year is 2015"
"CP","Consumer Price Indices","9","Argentina","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","483.12659","","Official data","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","108.145692","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","107.326885","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","108.736776","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","110.682561","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","110.41619","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","106.56536","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","100.733706","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","99.873621","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","99.054158","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","99.88503","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","102.707965","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","1","Armenia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","110.065339","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","22","Aruba","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","116.573337","","Official data","base year is 2015"
"CP","Consumer Price Indices","22","Aruba","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","116.001612","","Official data","base year is 2015"
"CP","Consumer Price Indices","22","Aruba","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","115.367794","","Official data","base year is 2015"
"CP","Consumer Price Indices","22","Aruba","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","116.013327","","Official data","base year is 2015"
"CP","Consumer Price Indices","22","Aruba","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","115.023353","","Official data","base year is 2015"
"CP","Consumer Price Indices","22","Aruba","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","114.496147","","Official data","base year is 2015"
"CP","Consumer Price Indices","22","Aruba","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","114.548868","","Official data","base year is 2015"
"CP","Consumer Price Indices","22","Aruba","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","114.441083","","Official data","base year is 2015"
"CP","Consumer Price Indices","22","Aruba","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","114.150535","","Official data","base year is 2015"
"CP","Consumer Price Indices","22","Aruba","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","114.157564","","Official data","base year is 2015"
"CP","Consumer Price Indices","22","Aruba","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","113.748687","","Official data","base year is 2015"
"CP","Consumer Price Indices","22","Aruba","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","113.29529","","Official data","base year is 2015"
"CP","Consumer Price Indices","10","Australia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","110.42329","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","10","Australia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","111.415567","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","10","Australia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","112.407844","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","10","Australia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","112.65145","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","10","Australia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","112.895056","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","10","Australia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","113.138662","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","10","Australia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","112.987418","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","10","Australia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","112.836175","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","10","Australia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","112.684932","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","10","Australia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","116.240563","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","10","Australia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","119.796193","F","FAO estimate","base year is 2015"
"CP","Consumer Price Indices","10","Australia","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","123.351824","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","11","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","122.2623","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","11","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","123.0056","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","11","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","123.501","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","11","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","124.1204","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","11","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","122.7578","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","11","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","124.492","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","11","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","124.492","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","11","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","124.1204","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","11","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","124.2443","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","11","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","124.492","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","11","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","124.2443","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","11","Austria","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","124.8636","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","52","Azerbaijan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","144.868952","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","52","Azerbaijan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","146.496783","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","52","Azerbaijan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","149.839856","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","52","Azerbaijan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","150.996534","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","52","Azerbaijan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","148.969087","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","52","Azerbaijan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","146.61017","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","52","Azerbaijan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","145.453299","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","52","Azerbaijan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","144.713591","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","52","Azerbaijan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","144.96848","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","52","Azerbaijan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","145.415053","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","52","Azerbaijan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","146.020794","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","52","Azerbaijan","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","148.740532","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","12","Bahamas","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","101.374646","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","12","Bahamas","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","103.121675","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","12","Bahamas","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","103.215601","X","International reliable sources","base year is 2015"
"CP","Consumer Price Indices","12","Bahamas","2020","2020","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","99.082844","X","International reliable sources","base year is 2015"
